hunt_code,year,residency,points,application_value_score,decision_label,modeled_draw_probability_score,hunt_quality_score,point_value_score,demand_opportunity_score,permit_stability_score
BI6505,2026,Nonresident,18,48.819,GOOD VALUE,16.667,61.544,84.0,100.0,0.0
BI6505,2026,Nonresident,17,38.128,LOW VALUE,2.941,61.544,76.0,68.75,0.0
BI6505,2026,Nonresident,16,36.928,LOW VALUE,2.941,61.544,68.0,68.75,0.0
BI6505,2026,Nonresident,15,39.482,LOW VALUE,3.846,61.544,60.0,91.667,0.0
BI6505,2026,Nonresident,14,37.128,LOW VALUE,3.571,61.544,52.0,84.615,0.0
BI6505,2026,Nonresident,13,34.938,DO NOT BURN POINTS,3.333,61.544,44.0,78.571,0.0
BI6505,2026,Nonresident,12,32.88,DO NOT BURN POINTS,3.125,61.544,36.0,73.333,0.0
BI6505,2026,Nonresident,11,27.847,DO NOT BURN POINTS,2.174,61.544,28.0,50.0,0.0
BI6505,2026,Nonresident,10,25.659,DO NOT BURN POINTS,1.923,61.544,20.0,44.0,0.0
BI6505,2026,Nonresident,9,24.18,DO NOT BURN POINTS,1.852,61.544,12.0,42.308,0.0
BI6505,2026,Nonresident,8,22.259,DO NOT BURN POINTS,1.667,61.544,4.0,37.931,0.0
BI6505,2026,Nonresident,7,20.177,DO NOT BURN POINTS,1.282,61.544,0.0,28.947,0.0
